neighbourhood_id,neighbourhood_name
0,Strathcona
1,Kerrisdale
2,Dunbar-Southlands
3,Grandview-Woodland
4,Sunset
5,West End
6,Central Business District
7,Hastings-Sunrise
8,Victoria-Fraserview
9,Fairview
10,Kensington-Cedar Cottage
11,West Point Grey
12,Shaughnessy
13,Renfrew-Collingwood
14,Killarney
15,Riley Park
16,Arbutus Ridge
17,Musqueam
18,Mount Pleasant
19,Kitsilano
20,Stanley Park
21,South Cambie
22,Marpole
23,Oakridge
